timestamp,event_id,event_type,severity,drowsiness_score,speed,frame_number,evidence_filename,clip_filename,details
2026-07-29 15:59:21,evt_1379_1705,HEAD_POSE_TILT,WARNING,100.0,83.7,1379,evidence_HEAD_POSE_TILT_20260729_155921_frame_1379.jpg,event_HEAD_POSE_TILT_20260729_155921.mp4,"Driver head tilt/distraction: pitch=169.4, roll=-6.9, yaw=26.8"
2026-07-29 15:59:23,evt_1408_3682,HEAD_POSE_TILT,WARNING,100.0,81.4,1408,evidence_HEAD_POSE_TILT_20260729_155923_frame_1408.jpg,event_HEAD_POSE_TILT_20260729_155921.mp4,"Driver head tilt/distraction: pitch=166.1, roll=-15.5, yaw=58.5"
2026-07-29 15:59:28,evt_1482_8428,DRIVER_MISSING,CRITICAL,95.6,77.1,1482,evidence_DRIVER_MISSING_20260729_155928_frame_1482.jpg,event_DRIVER_MISSING_20260729_155928.mp4,Driver's face missing/not detected for > 2 seconds.
2026-07-29 15:59:31,evt_1523_1380,HEAD_POSE_TILT,WARNING,89.6,82.0,1523,evidence_HEAD_POSE_TILT_20260729_155931_frame_1523.jpg,event_DRIVER_MISSING_20260729_155928.mp4,"Driver head tilt/distraction: pitch=-177.5, roll=-5.9, yaw=-30.2"
2026-07-29 15:59:33,evt_1552_3493,HEAD_POSE_TILT,WARNING,78.0,84.4,1552,evidence_HEAD_POSE_TILT_20260729_155933_frame_1552.jpg,event_HEAD_POSE_TILT_20260729_155933.mp4,"Driver head tilt/distraction: pitch=-179.8, roll=-2.2, yaw=31.1"
2026-07-29 15:59:35,evt_1582_5541,HEAD_POSE_TILT,WARNING,75.2,82.2,1582,evidence_HEAD_POSE_TILT_20260729_155935_frame_1582.jpg,event_HEAD_POSE_TILT_20260729_155933.mp4,"Driver head tilt/distraction: pitch=-172.8, roll=8.4, yaw=12.8"
2026-07-29 15:59:37,evt_1610_7506,PHONE_USAGE,CRITICAL,64.8,79.1,1610,evidence_PHONE_USAGE_20260729_155937_frame_1610.jpg,event_HEAD_POSE_TILT_20260729_155933.mp4,Driver detected holding cell phone.
2026-07-29 15:59:38,evt_1612_8130,HEAD_POSE_TILT,WARNING,63.6,78.8,1612,evidence_HEAD_POSE_TILT_20260729_155938_frame_1612.jpg,event_HEAD_POSE_TILT_20260729_155937.mp4,"Driver head tilt/distraction: pitch=-169.8, roll=-7.2, yaw=-53.6"
2026-07-29 15:59:40,evt_1642_222,HEAD_POSE_TILT,WARNING,56.4,74.8,1642,evidence_HEAD_POSE_TILT_20260729_155940_frame_1642.jpg,event_HEAD_POSE_TILT_20260729_155937.mp4,"Driver head tilt/distraction: pitch=-174.2, roll=-162.5, yaw=35.5"
2026-07-29 15:59:44,evt_1722_4915,DRIVER_MISSING,CRITICAL,48.4,84.0,1722,evidence_DRIVER_MISSING_20260729_155944_frame_1722.jpg,event_DRIVER_MISSING_20260729_155944.mp4,Driver's face missing/not detected for > 2 seconds.
